date,iso_a3,country_number,currency_code,name,local_price,dollar_price,dollar_ex,usa_price,dollar_ex_implied,over_under_valued
2005-06-01,ZAF,710,ZAR,South Africa,13.95,2.09831232514064,6.6482,2.58,5.406976744186046,-18.67006491702948
2005-06-01,KOR,410,KRW,South Korea,2500.0,2.48632521133764,1005.5,2.58,968.9922480620155,-3.630805762106859
2005-06-01,SWE,752,SEK,Sweden,31.0,4.16655466250907,7.4402,2.58,12.015503875968992,61.494366763917526
2005-06-01,CHE,756,CHF,Switzerland,6.3,5.0501002004008,1.2475,2.58,2.441860465116279,95.74031784499229
2005-06-01,TWN,158,TWD,Taiwan,75.0,2.40577385725742,31.175,2.58,29.069767441860463,-6.752951269092344
2005-06-01,THA,764,THB,Thailand,60.0,1.48038490007402,40.53,2.58,23.25581395348837,-42.62074030720856
2005-06-01,USA,840,USD,United States,2.58,2.58,1.0,2.58,1.0,-0.0
2005-06-01,PHL,608,PHP,Philippines,80.0,1.46654445462878,54.55,2.58,31.007751937984494,-43.15719168105501
2005-06-01,NOR,578,NOK,Norway,39.0,6.06286726984423,6.4326,2.58,15.116279069767442,134.99485542031903
2005-06-01,PER,604,PEN,Peru,8.99,2.76224420819763,3.2546,2.58,3.4844961240310077,7.063728999908059
2005-06-01,TUR,792,TRY,Turkey,4.0,2.9218407596786,1.369,2.58,1.5503875968992247,13.249641848007654
2005-06-01,VEN,862,VEF,Venezuela,5600.0,2.12958526326998,2629.62,2.58,2170.5426356589146,-17.457935532171387
2005-06-01,EGY,818,EGP,Egypt,9.0,1.55172413793103,5.8,2.58,3.488372093023256,-39.855653568564556
2005-06-01,COL,170,COP,Colombia,6500.0,2.79245607251794,2327.7,2.58,2519.3798449612405,8.23473149294327
2005-06-01,CRI,188,CRC,Costa Rica,1130.0,2.3774458236903,475.3,2.58,437.984496124031,-7.850937066267405
2005-06-01,PAK,586,PKR,Pakistan,130.0,2.18047635021805,59.62,2.58,50.3875968992248,-15.485412782246222
2005-06-01,SAU,682,SAR,Saudi Arabia,9.0,2.39993600170662,3.7501,2.58,3.488372093023256,-6.979224740053446
2005-06-01,LKA,144,LKR,Sri Lanka,175.0,1.75096302966632,99.945,2.58,67.82945736434108,-32.13321590440634
2005-06-01,UKR,804,UAH,Ukraine,7.25,1.43280632411067,5.06,2.58,2.810077519379845,-44.46487115850108
2005-06-01,URY,858,UYU,Uruguay,44.0,1.82383419689119,24.125,2.58,17.05426356589147,-29.308752058480948
2005-06-01,ARE,784,AED,UAE,9.0,2.45064669843431,3.6725,2.58,3.488372093023256,-5.013693859135304
2006-01-01,ARG,32,ARS,Argentina,4.75,1.55036229518898,3.0638,2.67,1.7790262172284645,-41.93399643486963
2006-01-01,AUS,36,AUD,Australia,3.25,2.44214006612564,1.3308,2.67,1.2172284644194757,-8.53407992038806
2006-01-01,BRA,76,BRL,Brazil,6.2,2.74154322352421,2.2615,2.67,2.322097378277154,2.6795214803075007
2006-01-01,GBR,826,GBP,Britain,1.88,3.3161319980909,0.566925563,2.67,0.7041198501872659,24.19970030303007
2006-01-01,CAN,124,CAD,Canada,3.52,3.00751879699248,1.1704,2.67,1.3183520599250937,12.64115344541128
2006-01-01,CHL,152,CLP,Chile,1560.0,2.98421807747489,522.75,2.67,584.2696629213483,11.768467321157017
2006-01-01,CHN,156,CNY,China,10.5,1.30206718666683,8.0641,2.67,3.9325842696629216,-51.23343870161678
2006-01-01,CZE,203,CZK,Czech Republic,62.0,2.60094389092816,23.8375,2.67,23.220973782771537,-2.5863711262861466
2006-01-01,DNK,208,DKK,Denmark,27.75,4.49254480402791,6.1769,2.67,10.393258426966293,68.26010501977193
2006-01-01,HKG,344,HKD,Hong Kong,12.0,1.54814738363092,7.7512,2.67,4.49438202247191,-42.01695192393551
2006-01-01,HUN,348,HUF,Hungary,560.0,2.70588917451052,206.956,2.67,209.73782771535582,1.3441638393454802
2006-01-01,IDN,360,IDR,Indonesia,14600.0,1.54334038054968,9460.0,2.67,5468.164794007491,-42.19698949252124
2006-01-01,JPN,392,JPY,Japan,250.0,2.18713092165697,114.305,2.67,93.63295880149813,-18.084984207604105
2006-01-01,MYS,458,MYR,Malaysia,5.5,1.46713615023474,3.7488,2.67,2.059925093632959,-45.05108051555274
2006-01-01,MEX,484,MXN,Mexico,28.0,2.65591652833768,10.5425,2.67,10.486891385767791,-0.5274708487760016
2006-01-01,NZL,554,NZD,New Zealand,4.45,3.07596599156701,1.4467,2.67,1.6666666666666667,15.204718785281447
2006-01-01,POL,616,PLN,Poland,6.5,2.08661038168919,3.1151,2.67,2.4344569288389515,-21.84979843860706
2006-01-01,RUS,643,RUB,Russia,46.0,1.60446459713987,28.67,2.67,17.228464419475657,-39.9076929910162
2006-01-01,SGP,702,SGD,Singapore,3.6,2.20143093010457,1.6353,2.67,1.348314606741573,-17.54940336687012
2006-01-01,ZAF,710,ZAR,South Africa,13.95,2.29429468940677,6.0803,2.67,5.224719101123595,-14.07135994731189
2006-01-01,KOR,410,KRW,South Korea,2500.0,2.55767558442887,977.45,2.67,936.3295880149813,-4.206906950229561
2006-01-01,SWE,752,SEK,Sweden,33.0,4.27910112942336,7.7119,2.67,12.359550561797754,60.265959903496594
2006-01-01,CHE,756,CHF,Switzerland,6.3,4.93112085159674,1.2776,2.67,2.359550561797753,84.6861742171065
2006-01-01,TWN,158,TWD,Taiwan,75.0,2.34745457675394,31.9495,2.67,28.08988764044944,-12.080352930564043
2006-01-01,THA,764,THB,Thailand,60.0,1.50924412023645,39.755,2.67,22.471910112359552,-43.47400298739894
2006-01-01,USA,840,USD,United States,2.67,2.67,1.0,2.67,1.0,-0.0
2006-01-01,PHL,608,PHP,Philippines,82.0,1.55952833777102,52.58,2.67,30.711610486891388,-41.59069895988705
2006-01-01,PER,604,PEN,Peru,9.5,2.75681950087057,3.446,2.67,3.558052434456929,3.2516666992724597
2006-01-01,TUR,792,TRY,Turkey,4.1,3.06771417882529,1.3365,2.67,1.5355805243445693,14.895662128288013
2006-01-01,VEN,862,VEF,Venezuela,5900.0,2.2554206550659,2615.92,2.67,2209.7378277153557,-15.527316289666516
2006-01-01,EGY,818,EGP,Egypt,9.25,1.61149825783972,5.74,2.67,3.464419475655431,-39.64426000600295
2006-05-01,ARG,32,ARS,Argentina,7.0,2.29020121053493,3.0565,2.78,2.5179856115107917,-17.618661491549435
2006-05-01,AUS,36,AUD,Australia,3.25,2.43896947911116,1.33253,2.78,1.169064748201439,-12.26728492405883
2006-05-01,BRA,76,BRL,Brazil,6.4,2.77717509221089,2.3045,2.78,2.3021582733812953,-0.10161538809740911
2006-05-01,GBR,826,GBP,Britain,1.94,3.64797600212458,0.531801744,2.78,0.697841726618705,31.222158349805063
2006-05-01,CAN,124,CAD,Canada,3.52,3.1415948949083,1.12045,2.78,1.2661870503597124,13.007010608212099
2006-05-01,CHL,152,CLP,Chile,1560.0,2.94367393150297,529.95,2.78,561.1510791366907,5.887551492912646
